anio,aut,ent,aut_her,aut_fal,civ_det,civ_her,civ_fal,vic_her,vic_fal,let,tot
2018,SM,16,,,,,6,,,#,4
2018,SM,20,,,,1,,,,0,1
2018,SM,21,1,,,2,,,,0,1
2018,SM,23,,,,,1,,,#,1
2018,SM,25,,,2,,4,,,#,1
2018,SM,26,,,,,,,,#,1
2018,SM,28,31,2,,,33,,,#,18
2018,SM,30,2,,,,5,,,#,4
2018,SM,00,47,3,5,7,63,,,9,40
2019,GN,07,,1,,,,,,#,1
2019,GN,10,2,,,1,2,,,2,1
2019,GN,11,4,2,11,1,12,,,12,5
2019,GN,12,,,,,,,,#,1
2019,GN,14,,,15,1,1,,,1,2
2019,GN,15,3,,,,,,,#,1
2019,GN,16,3,,6,3,3,,,1,6
2019,GN,20,2,,,,,,,#,2
2019,GN,21,3,,12,,,,,#,2
2019,GN,24,,,,,,,,#,1
2019,GN,25,9,1,,,,,,#,1
2019,GN,26,,,,1,,,,0,1
2019,GN,28,3,,,,,4,1,#,1
2019,GN,00,29,4,44,7,18,4,1,2.571428571,25
2019,SD,02,,,1,1,1,,,1,2
2019,SD,05,2,,4,,22,,,#,7
2019,SD,08,5,,16,2,3,3,,1.5,14
2019,SD,10,,,,,,1,,#,2
2019,SD,11,5,,3,,6,,,#,6
2019,SD,12,,4,4,1,20,,,20,8
2019,SD,13,,,,,1,,,#,4
2019,SD,14,5,,21,1,2,1,,2,12
2019,SD,15,,,,,,,,#,4
2019,SD,16,3,2,27,5,25,2,1,5,15
2019,SD,17,,,4,2,1,,,0.5,2
2019,SD,18,,,1,1,,,,0,1
2019,SD,19,,,6,,2,,,#,4
2019,SD,20,1,,5,3,4,,,1.333333333,4
2019,SD,21,2,,1,,,,,#,3
2019,SD,22,3,,,2,,,,0,1
2019,SD,23,,,,,,,,#,1
2019,SD,25,8,,2,,1,2,,#,10
2019,SD,26,2,,13,3,2,,,0.666666667,13
2019,SD,28,48,5,21,5,102,7,3,20.4,122
2019,SD,29,,,,,,,,#,1
2019,SD,30,,,1,3,2,2,,0.666666667,2
2019,SD,32,,,7,2,3,,,1.5,4
2019,SD,00,84,11,137,31,197,18,4,6.35483871,242
2019,SM,11,,,2,,1,,,#,1
2019,SM,12,,,1,,3,,,#,2
2019,SM,21,8,1,10,,,,,#,2
2019,SM,26,,,,,,,,#,1
2019,SM,27,,,3,,,,,#,1
2019,SM,28,,,,,,,,#,1
2019,SM,30,,,5,1,,,,0,2
2019,SM,00,8,1,21,1,4,,,4,10
2020,GN,02,,,,,1,,,#,1
2020,GN,03,,,,,,,,#,1
2020,GN,07,1,,,,,,,#,1
2020,GN,08,7,,,,,,,#,3
2020,GN,11,9,,25,7,23,,,3.285714286,25
2020,GN,12,,,3,,1,,,#,6
2020,GN,14,13,2,9,1,2,,,2,8
2020,GN,16,15,1,22,2,10,,2,5,33
2020,GN,19,3,,,,,,,#,7
2020,GN,20,2,,5,1,2,,,2,7
2020,GN,21,1,,4,2,,,,0,4
2020,GN,22,,,,,,,,#,1
2020,GN,24,,,5,,,,,#,1
2020,GN,25,1,,3,,,,,#,2
2020,GN,26,6,,14,1,2,,,2,12
2020,GN,28,3,4,1,,,,,#,7
2020,GN,29,7,,,,,,,#,6
2020,GN,32,3,,10,,10,,,#,7
2020,GN,00,71,7,101,14,51,,2,3.642857143,132
2020,SD,02,,,3,,1,,,#,3
2020,SD,05,,,,,1,,,#,1
2020,SD,08,2,,11,1,9,,,9,14
2020,SD,11,1,,3,2,1,,,0.5,11
2020,SD,12,1,,22,7,8,,1,1.142857143,12
2020,SD,13,,,1,,,,1,#,6
2020,SD,14,,1,11,8,3,,,0.375,6
2020,SD,15,,,2,,,,,#,1
2020,SD,16,4,,39,10,25,1,,2.5,40
2020,SD,17,,,5,2,2,,,1,4
2020,SD,19,,,6,,2,,,#,6
2020,SD,20,,,10,,,,,#,3
2020,SD,21,,,,1,,,,0,2
2020,SD,22,,,1,,1,,,#,2
2020,SD,23,3,1,2,,,,,#,1
2020,SD,24,,,8,3,1,,,0.333333333,3
2020,SD,25,,,5,,1,,,#,5
2020,SD,26,5,,16,3,7,,,2.333333333,20
2020,SD,28,34,4,15,4,149,5,2,37.25,112
2020,SD,30,,,5,,1,,,#,1
2020,SD,32,6,,5,3,21,,,7,7
2020,SD,00,56,6,170,44,233,6,4,5.295454545,260
2020,SM,02,,,,,1,,,#,1
2020,SM,03,,,,,,,,#,1
2020,SM,11,,,,,1,,,#,1
2020,SM,12,,,3,,,,,#,2
2020,SM,16,2,2,,,,,,#,2
2020,SM,26,,,,,1,,,#,2
2020,SM,28,,,25,,,,,#,4
2020,SM,30,,,,1,,,,0,1
2020,SM,00,2,2,28,1,3,,,3,14
2021,GN,02,,,,1,,,,0,1
2021,GN,07,5,,,,,,,#,2
2021,GN,11,1,,5,1,4,1,,4,5
2021,GN,12,2,,,,1,,,#,5
2021,GN,13,,,,,,,,#,1
2021,GN,14,5,,,,4,,,#,6
2021,GN,15,7,1,,,,,1,#,3
2021,GN,16,9,,6,1,2,,,2,22
2021,GN,17,,,,,1,,,#,1
2021,GN,18,1,1,,4,1,,,0.25,2
2021,GN,19,6,3,,,2,,,#,8
2021,GN,20,,,,,,,,#,1
2021,GN,22,,,,,,,,#,1
2021,GN,23,6,,,,2,,,#,1
2021,GN,24,,,,,,,,#,1
2021,GN,25,,,1,,1,1,,#,6
2021,GN,26,5,,11,2,6,,,3,15
2021,GN,27,,,,,,1,1,#,1
2021,GN,28,2,,,,4,1,1,#,10
2021,GN,32,3,,12,,6,,,#,12
2021,GN,00,52,5,35,9,34,4,3,3.777777778,104
2021,SD,02,,,,,,,,#,4
2021,SD,03,,,,1,,,,0,1
2021,SD,05,2,,,,,,,#,3
2021,SD,07,4,,,,,,,#,1
2021,SD,08,,1,7,1,1,,,1,5
2021,SD,10,,,,,,,,#,2
2021,SD,11,,,3,,1,,,#,4
2021,SD,12,,,3,3,1,,,0.333333333,5
2021,SD,14,8,1,12,4,5,,,1.25,11
2021,SD,15,,,,,,,,#,3
2021,SD,16,11,4,8,1,16,,,16,31
2021,SD,17,,,10,,2,,,#,2
2021,SD,18,1,,3,,,,,#,1
2021,SD,19,2,,,,5,,,#,5
2021,SD,21,,,4,1,,,,0,1
2021,SD,22,,,,,,,,#,1
2021,SD,24,,,3,,1,,,#,2
2021,SD,25,,,8,2,,,,0,7
2021,SD,26,8,2,20,8,7,,,0.875,18
2021,SD,28,32,4,48,9,114,9,1,12.66666667,113
2021,SD,30,,,,,,,,#,1
2021,SD,32,7,1,49,6,9,,,1.5,15
2021,SD,00,75,13,178,36,162,9,1,4.5,236
2021,SM,16,,,,,,,,#,1
2021,SM,23,,,5,,,,,#,1
2021,SM,26,,,3,,4,,,#,3
2021,SM,00,,,8,,4,,,#,5
2022,GN,02,,,5,1,,,,0,5
2022,GN,07,1,,,,,,,#,2
2022,GN,08,,,12,,,,,#,2
2022,GN,09,2,,,1,,,,0,3
2022,GN,11,,,2,1,1,,,1,4
2022,GN,12,22,,8,1,,,,0,2
2022,GN,13,17,,,,,,,#,6
2022,GN,14,11,3,31,,3,,,#,19
2022,GN,15,,,4,,5,,,#,3
2022,GN,16,5,2,15,,5,,,#,20
2022,GN,18,,,,,,,,#,1
2022,GN,19,,,,,,,,#,2
2022,GN,20,1,,4,,,,,#,2
2022,GN,22,,,,1,,,,0,1
2022,GN,24,1,,3,2,9,,,4.5,6
2022,GN,25,,,,,3,1,,#,6
2022,GN,26,1,,28,3,2,2,,0.666666667,17
2022,GN,27,,,,,,,,#,1
2022,GN,28,,,1,,4,,,#,6
2022,GN,29,,,,1,,,,0,1
2022,GN,30,1,,11,1,1,,,1,2
2022,GN,32,6,2,19,4,5,,,1.25,14
2022,GN,00,68,7,143,16,38,3,,2.375,125
2022,SD,02,,,16,6,,,,0,6
2022,SD,07,3,,3,,2,,,#,4
2022,SD,08,,1,20,1,6,,,6,7
2022,SD,10,,,,1,,,,0,1
2022,SD,11,,,8,1,,,,0,3
2022,SD,12,,,9,1,1,,,1,5
2022,SD,13,2,,,2,,,,0,1
2022,SD,14,3,,71,6,14,,,2.333333333,25
2022,SD,15,,,3,,3,,,#,1
2022,SD,16,4,,74,6,29,,,4.833333333,32
2022,SD,17,1,,3,1,1,,,1,3
2022,SD,18,,,5,3,,,,0,3
2022,SD,19,1,,,,1,,,#,2
2022,SD,20,,,8,,1,,,#,2
2022,SD,24,,,4,1,,,,0,4
2022,SD,25,3,,8,4,3,,,0.75,7
2022,SD,26,5,3,40,11,11,,,1,25
2022,SD,27,,,,,1,,,#,1
2022,SD,28,25,2,25,6,89,5,2,14.83333333,103
2022,SD,30,,,8,1,,,,0,2
2022,SD,32,7,1,30,10,22,,,2.2,23
2022,SD,00,54,7,335,61,184,5,2,3.016393443,260
2022,SM,07,,,,,,,,#,1
2022,SM,16,,,,,1,,,#,1
2022,SM,26,3,,27,3,3,,,1,11
2022,SM,00,3,,27,3,4,,,1.333333333,13
2023,GN,02,1,1,1,,2,1,,#,9
2023,GN,06,2,,3,,,,,#,3
2023,GN,07,6,1,6,1,5,,,5,12
2023,GN,08,,,1,1,3,,,3,3
2023,GN,10,,,,,,,,#,1
2023,GN,11,11,,,1,1,1,,1,8
2023,GN,12,7,1,2,1,,,,0,6
2023,GN,13,1,,1,2,,,,0,2
2023,GN,14,9,4,15,3,5,,,1.666666667,24
2023,GN,15,1,1,3,1,2,,,2,11
2023,GN,16,17,1,42,4,18,,,4.5,40
2023,GN,17,,,1,,,,,#,2
2023,GN,19,4,,2,,4,,,#,13
2023,GN,20,,,4,,1,,,#,5
2023,GN,21,4,,2,2,1,,,0.5,9
2023,GN,22,,,,,,,,#,1
2023,GN,24,11,2,,,7,,,#,6
2023,GN,25,12,2,22,4,16,,1,4,19
2023,GN,26,2,,5,3,2,,,0.666666667,11
2023,GN,27,1,,,,2,,,#,3
2023,GN,28,8,,,2,4,,,2,13
2023,GN,29,,,3,,,,,#,2
2023,GN,30,,,,,,,,#,1
2023,GN,32,1,,7,,,,,#,5
2023,GN,00,98,13,120,25,73,2,1,2.92,209
2023,SD,02,,,4,2,1,,,0.5,4
2023,SD,07,4,2,12,1,1,,,1,9
2023,SD,08,,,1,,3,,,#,5
2023,SD,09,1,,4,,,,,#,1
2023,SD,10,1,,,,,,,#,1
2023,SD,11,,,2,1,1,,,1,5
2023,SD,12,5,4,20,4,12,,,3,12
2023,SD,13,1,,,,,,,#,2
2023,SD,14,5,3,6,1,5,,,5,13
2023,SD,15,1,,1,1,,,,0,3
2023,SD,16,15,3,52,3,51,,,17,70
2023,SD,17,,,,,2,,,#,1
2023,SD,19,,,,,4,,,#,4
2023,SD,23,,,,,4,,,#,1
2023,SD,24,6,4,2,,12,,,#,6
2023,SD,25,5,5,5,,1,1,,#,19
2023,SD,26,17,3,18,13,15,1,,1.153846154,31
2023,SD,28,13,4,13,3,67,,,22.33333333,55
2023,SD,32,8,3,25,4,5,,1,1.25,20
2023,SD,00,82,31,165,33,184,2,1,5.575757576,262
2023,SM,03,,,2,,,,,#,1
2023,SM,04,,,,,,,,#,1
2023,SM,06,1,,9,2,,,,0,3
2023,SM,07,,,,,,,,#,1
2023,SM,12,,,,,,,,#,1
2023,SM,14,,,1,,,,,#,1
2023,SM,16,,,1,1,1,,,1,2
2023,SM,17,2,,3,,,,,#,2
2023,SM,20,1,,3,1,1,,,1,2
2023,SM,23,,,6,,1,,,#,1
2023,SM,26,1,,10,1,5,,,5,4
2023,SM,28,,,16,1,15,,,15,8
2023,SM,30,4,,15,2,2,,,1,6
2023,SM,00,9,,66,8,25,,,3.125,33
