anio,geo,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2016,09013,40,36,4,21,21,,421545,207077,214468
2016,09012,48,41,7,25,24,1,676597,324463,352134
2016,09011,52,47,5,35,34,1,367372,177178,190194
2016,09010,63,51,12,34,30,4,753460,359325,394135
2016,09009,21,19,2,10,9,1,136522,66775,69747
2016,09008,14,10,4,2,1,1,245103,117806,127297
2016,09007,260,229,31,147,136,11,1843315,895968,947347
2016,09006,41,38,3,26,26,,396794,188320,208474
2016,09005,207,181,26,139,126,13,1193647,573884,619763
2016,09004,8,6,2,4,3,1,196329,94001,102328
2016,09003,37,31,6,20,18,2,630049,296282,333767
2016,09002,37,33,4,30,29,1,415389,196019,219370
2016,08067,3,3,,3,3,,5310,2714,2596
2016,08066,13,12,1,10,9,1,6945,3552,3393
2016,08065,28,27,1,10,10,,21446,10887,10559
2016,08063,1,1,,,,,6662,3426,3236
2016,08062,3,3,,1,1,,32571,16349,16222
2016,08061,1,1,,1,1,,3454,1796,1658
2016,08060,3,3,,3,3,,11021,5483,5538
2016,08059,2,2,,2,2,,5166,2598,2568
2016,08058,1,1,,,,,2763,1434,1329
2016,08056,3,3,,3,3,,2152,1091,1061
2016,08055,1,1,,1,1,,17610,8897,8713
2016,08054,5,5,,5,5,,8210,4180,4030
2016,08053,16,15,1,6,6,,5728,2903,2825
2016,08052,12,12,,6,6,,28065,14133,13932
2016,08051,14,13,1,10,9,1,7662,4012,3650
2016,08050,4,3,1,1,1,,64085,31382,32703
2016,08049,4,4,,4,4,,2774,1427,1347
2016,08048,1,,1,,,,23984,12248,11736
2016,08047,1,1,,1,1,,5391,2799,2592
2016,08046,12,12,,9,9,,8378,4236,4142
2016,08045,2,2,,1,1,,46305,22982,23323
2016,08044,1,1,,,,,4617,2354,2263
2016,08041,1,1,,,,,1787,923,864
2016,08040,22,20,2,15,14,1,30717,15500,15217
2016,08039,1,1,,1,1,,4177,2168,2009
2016,08038,1,,1,,,,4792,2450,2342
2016,08037,671,592,78,425,392,33,1424918,713499,711419
2016,08036,10,10,,6,6,,43989,21897,22092
2016,08034,1,1,,1,1,,7197,3637,3560
2016,08033,1,1,,1,1,,1028,516,512
2016,08032,33,31,2,20,19,1,113419,55026,58393
2016,08031,10,10,,9,9,,40798,20532,20266
2016,08030,7,6,1,6,5,1,8409,4298,4111
2016,08029,139,135,4,110,106,4,56915,28768,28147
2016,08028,14,14,,5,5,,5886,2946,2940
2016,08027,80,71,9,37,34,3,48714,23947,24767
2016,08026,2,1,1,2,1,1,2815,1437,1378
2016,08025,3,3,,,,,9083,4532,4551
2016,08024,3,3,,3,3,,4177,2080,2097
2016,08023,1,,1,,,,6511,3255,3256
2016,08022,1,1,,1,1,,2712,1374,1338
2016,08021,21,19,2,8,7,1,150881,73901,76980
2016,08020,2,2,,2,2,,8253,4334,3919
2016,08019,411,371,39,289,264,25,897159,437406,459753
2016,08018,1,1,,,,,5038,2600,2438
2016,08017,62,56,6,23,19,4,169400,82345,87055
2016,08015,1,1,,1,1,,1721,936,785
2016,08013,8,8,,5,5,,11351,5804,5547
2016,08012,1,1,,,,,9441,4753,4688
2016,08011,14,12,2,3,2,1,52699,25906,26793
2016,08010,16,16,,8,8,,23863,12046,11817
2016,08009,48,41,7,38,33,5,29559,14522,15037
2016,08008,23,17,6,7,7,,13108,6581,6527
2016,08007,15,12,3,9,7,2,17512,8912,8600
2016,08006,2,2,,1,1,,6387,3263,3124
2016,08005,8,5,3,2,2,,25497,12945,12552
2016,08004,4,4,,4,4,,16726,8650,8076
2016,08003,3,3,,2,2,,9037,4573,4464
2016,08002,8,8,,7,7,,24672,12283,12389
2016,08001,2,1,1,,,,12574,6388,6186
2016,07119,2,2,,,,,3740,1881,1859
2016,07117,1,1,,1,1,,7924,4027,3897
2016,07116,9,9,,8,8,,11428,5796,5632
2016,07114,18,18,,16,16,,20197,10184,10013
2016,07112,1,1,,,,,34561,16922,17639
2016,07111,1,1,,1,1,,41893,19671,22222
2016,07109,7,7,,6,6,,38986,19106,19880
2016,07108,11,8,3,7,6,1,110068,54043,56025
2016,07107,7,3,4,5,3,2,82207,40518,41689
2016,07106,8,8,,6,6,,67847,33891,33956
2016,07104,2,2,,2,2,,15899,7783,8116
2016,07103,2,1,1,2,1,1,32301,15914,16387
2016,07102,10,10,,3,3,,43017,20960,22057
2016,07101,49,45,4,12,11,1,625767,298732,327035
2016,07100,1,1,,1,1,,35419,17346,18073
2016,07099,5,4,1,3,2,1,79669,38819,40850
2016,07097,8,6,2,4,3,1,93571,46220,47351
2016,07096,5,5,,2,2,,80096,40131,39965
2016,07094,1,1,,1,1,,43763,21287,22476
2016,07093,1,,1,,,,45176,22038,23138
2016,07092,10,9,1,5,4,1,43697,21688,22009
2016,07090,3,3,,1,1,,4219,2047,2172
2016,07089,58,48,10,21,17,4,361374,173391,187983
2016,07087,26,22,4,14,14,,39970,19577,20393
2016,07081,2,2,,,,,44728,22189,22539
2016,07080,4,3,1,,,,38507,19552,18955
2016,07079,2,1,1,,,,39625,19999,19626
2016,07078,22,16,6,12,10,2,215569,102823,112746
2016,07077,3,3,,,,,65062,32385,32677
2016,07076,1,1,,,,,27947,14048,13899
2016,07075,1,1,,,,,29307,14513,14794
2016,07074,10,7,3,5,4,1,46238,22919,23319
2016,07072,14,12,2,11,10,1,33514,16167,17347
2016,07069,7,6,1,2,2,,55561,27457,28104
2016,07068,7,7,,6,6,,33017,16372,16645
2016,07066,10,9,1,6,6,,22852,11347,11505
2016,07065,21,19,2,8,8,,123853,61058,62795
2016,07064,2,1,1,,,,49127,24675,24452
2016,07062,4,2,2,2,1,1,19019,9577,9442
2016,07061,14,10,4,4,4,,94109,46574,47535
2016,07059,13,10,3,6,6,,223101,111195,111906
2016,07057,7,6,1,3,3,,75382,37104,38278
2016,07054,2,2,,,,,30104,14892,15212
2016,07052,10,8,2,6,4,2,125500,62130,63370
2016,07051,17,14,3,8,8,,48971,24120,24851
2016,07050,1,1,,,,,5356,2643,2713
2016,07048,3,2,1,1,1,,22617,11211,11406
2016,07047,3,2,1,,,,20944,10624,10320
2016,07046,3,1,2,,,,41366,20441,20925
2016,07041,1,1,,,,,46489,22746,23743
2016,07040,2,2,,1,1,,56696,27411,29285
2016,07038,2,2,,2,2,,24088,11852,12236
2016,07037,1,1,,,,,36544,17796,18748
2016,07035,3,3,,3,3,,14654,7174,7480
2016,07034,8,7,1,7,7,,75403,36518,38885
2016,07032,2,2,,2,2,,33054,16249,16805
2016,07031,9,9,,2,2,,128944,63846,65098
2016,07027,11,9,2,5,4,1,102440,50453,51987
2016,07026,1,1,,1,1,,40343,19961,20382
2016,07023,9,9,,7,7,,88470,41141,47329
2016,07022,1,1,,,,,16934,8403,8531
2016,07021,3,2,1,2,1,1,23085,11331,11754
2016,07019,20,18,2,6,6,,159170,76106,83064
2016,07017,7,6,1,4,3,1,88195,44118,44077
2016,07016,2,2,,1,1,,18289,9270,9019
2016,07015,4,3,1,1,1,,48068,23474,24594
2016,07014,4,4,,1,1,,22352,10798,11554
2016,07013,4,3,1,2,2,,35441,17575,17866
2016,07012,5,5,,1,1,,51699,25854,25845
2016,07011,1,1,,,,,21003,10411,10592
2016,07009,13,12,1,9,8,1,42912,20842,22070
2016,07005,1,1,,,,,21351,10828,10523
2016,07004,2,2,,1,1,,33459,16831,16628
2016,07003,3,3,,1,1,,29634,14829,14805
2016,07001,2,2,,1,1,,18690,9380,9310
2016,06010,31,27,4,27,23,4,139614,67995,71619
2016,06009,182,169,13,146,133,13,126507,63663,62844
2016,06008,2,2,,2,2,,9176,4754,4422
2016,06007,150,131,18,115,104,10,187912,94664,93248
2016,06006,1,1,,1,1,,5777,2902,2875
2016,06005,27,22,4,22,17,4,31046,15525,15521
2016,06004,9,9,,5,5,,21126,10619,10507
2016,06003,10,8,2,2,1,1,22787,11434,11353
2016,06002,170,148,21,101,90,10,159924,77823,82101
2016,06001,31,31,,25,25,,30794,15445,15349
2016,05038,1,1,,1,1,,13809,6960,6849
2016,05036,1,1,,1,1,,22551,11464,11087
2016,05035,99,89,10,62,56,6,703220,344538,358682
2016,05033,5,4,1,1,,1,110642,55388,55254
2016,05032,6,4,2,2,1,1,45369,22359,23010
2016,05031,1,1,,,,,24329,12186,12143
2016,05030,39,31,8,10,7,3,815860,407445,408415
2016,05028,5,4,1,4,3,1,65830,32997,32833
2016,05027,7,7,,,,,92448,47118,45330
2016,05025,23,16,7,16,11,5,169154,84982,84172
2016,05024,3,2,1,2,2,,47674,24384,23290
2016,05022,1,1,,,,,31394,16121,15273
2016,05020,4,4,,2,2,,72175,36493,35682
2016,05019,1,,1,,,,8909,4526,4383
2016,05018,23,21,2,7,5,2,238885,119092,119793
2016,05017,8,8,,5,5,,114258,57234,57024
2016,05014,1,,1,,,,10721,5464,5257
2016,05012,2,2,,1,1,,1946,1042,904
2016,05011,2,2,,1,1,,12889,6733,6156
2016,05010,3,3,,1,1,,83452,41980,41472
2016,05009,3,2,1,1,1,,60677,30343,30334
2016,05008,2,2,,2,2,,3194,1622,1572
2016,05005,1,1,,,,,1860,977,883
2016,05004,1,1,,1,1,,24171,12397,11774
2016,05002,6,3,3,2,1,1,156147,78798,77349
2016,04011,9,9,,7,7,,45663,23038,22625
2016,04010,3,3,,1,1,,29785,15094,14691
2016,04009,6,5,1,1,1,,60137,29648,30489
2016,04006,1,1,,1,1,,41267,21049,20218
2016,04004,8,6,2,3,3,,93095,46658,46437
2016,04003,43,37,5,16,14,2,255333,127006,128327
2016,04002,23,20,3,6,5,1,295650,142644,153006
2016,03009,2,2,,1,1,,19545,10194,9351
2016,03008,61,56,5,49,47,2,293085,150963,142122
2016,03003,148,141,7,123,118,5,281907,141002,140905
2016,03002,8,8,,8,8,,64487,33464,31023
2016,03001,18,18,,11,11,,77971,39515,38456
2016,02005,62,56,6,39,33,6,99760,50012,49748
2016,02004,895,789,101,586,532,52,1679399,838625,840774
2016,02003,55,48,7,42,36,6,106808,55176,51632
2016,02002,111,101,9,54,52,2,1016212,507877,508335
2016,02001,68,59,9,39,35,4,501156,250485,250671
2016,01011,3,3,,2,2,,46474,23057,23417
2016,01010,2,2,,2,2,,20985,10640,10345
2016,01007,2,2,,2,2,,55465,27494,27971
2016,01006,1,1,,1,1,,47756,23356,24400
2016,01005,2,2,,1,1,,119786,60015,59771
2016,01003,4,3,1,2,2,,58750,28715,30035
2016,01001,36,32,4,18,15,3,910036,446543,463493
2017,32058,3,3,,3,3,,2843,1412,1431
2017,32057,18,16,2,13,12,1,19716,9787,9929
2017,32056,120,103,17,97,85,12,152663,74421,78242
2017,32055,8,8,,6,6,,31411,15368,16043
2017,32051,11,9,2,7,6,1,36472,18386,18086
2017,32050,5,4,1,4,3,1,10230,5062,5168
2017,32049,31,24,7,18,17,1,34393,16959,17434
2017,32048,4,4,,2,2,,27390,13491,13899
2017,32047,5,5,,4,4,,5375,2630,2745
2017,32046,5,4,1,5,4,1,7398,3585,3813
2017,32045,2,2,,1,1,,9032,4329,4703
2017,32044,2,2,,,,,16237,7931,8306
2017,32043,1,,1,,,,1398,671,727
2017,32042,10,10,,7,7,,64680,31967,32713
2017,32039,8,6,2,5,5,,66467,32230,34237
2017,32038,21,18,3,15,14,1,75598,37127,38471
2017,32037,14,9,5,10,6,4,18301,9183,9118
2017,32036,9,9,,8,8,,44498,21783,22715
2017,32034,8,8,,6,6,,29005,13775,15230
2017,32032,13,9,4,11,7,4,12803,6413,6390
2017,32031,3,3,,2,2,,9557,4725,4832
2017,32029,3,2,1,3,2,1,24383,11985,12398
2017,32026,3,3,,2,2,,18147,9552,8595
2017,32025,5,5,,5,5,,13567,6749,6818
2017,32024,5,2,3,1,1,,54705,27198,27507
2017,32023,1,1,,1,1,,13135,6254,6881
2017,32022,5,5,,3,3,,22315,10862,11453
2017,32020,12,12,,8,8,,61649,29971,31678
2017,32019,2,2,,1,1,,25104,12272,12832
2017,32017,120,103,17,90,82,8,190214,93127,97087
2017,32016,3,3,,3,3,,23981,11768,12213
2017,32014,2,2,,1,1,,22661,10962,11699
2017,32013,9,5,4,8,4,4,6510,3228,3282
2017,32012,4,3,1,,,,8444,4126,4318
2017,32010,177,157,20,152,142,10,236748,117259,119489
2017,32009,1,1,,,,,11627,5651,5976
2017,32008,2,2,,1,1,,13008,6374,6634
2017,32007,2,1,1,2,1,1,13622,6910,6712
2017,32006,2,2,,2,2,,8687,4291,4396
2017,32005,24,20,4,15,14,1,46026,23085,22941
2017,32003,3,3,,3,3,,2629,1273,1356
2017,32001,1,1,,1,1,,6350,3080,3270
2017,31101,2,2,,,,,57191,28672,28519
2017,31096,3,2,1,,,,80385,39895,40490
2017,31091,1,1,,1,1,,12372,6314,6058
2017,31084,1,1,,,,,7517,3779,3738
2017,31079,2,1,1,1,1,,44118,21795,22323
2017,31076,1,1,,,,,18185,9157,9028
2017,31059,3,3,,,,,60951,30424,30527
2017,31058,3,1,2,1,1,,26126,12988,13138
2017,31056,1,,1,,,,32177,15386,16791
2017,31050,27,19,8,1,,1,930469,449678,480791
2017,31048,1,1,,,,,23637,11926,11711
2017,31041,4,4,,,,,100620,49993,50627
2017,31002,1,1,,,,,16845,8434,8411
2017,31001,1,1,,,,,6833,3504,3329
2017,30212,7,7,,6,6,,14564,7056,7508
2017,30211,10,8,2,7,5,2,31169,15309,15860
2017,30210,5,5,,3,3,,29885,15105,14780
2017,30208,10,8,1,5,4,1,25489,12239,13250
2017,30207,5,5,,1,1,,48219,23498,24721
2017,30206,10,10,,9,9,,30690,14926,15764
2017,30205,9,7,2,7,6,1,20299,10130,10169
2017,30204,11,11,,7,7,,49839,24227,25612
2017,30201,2,2,,1,1,,45182,22442,22740
2017,30199,1,1,,1,1,,11670,5712,5958
2017,30197,4,4,,4,4,,12417,6102,6315
2017,30196,19,15,4,11,9,2,18604,8729,9875
2017,30193,59,50,9,28,24,4,611446,294002,317444
2017,30192,1,1,,1,1,,21036,10184,10852
2017,30191,2,2,,1,1,,31817,15466,16351
2017,30189,38,35,3,23,21,2,164985,80565,84420
2017,30187,2,2,,,,,5936,2903,3033
2017,30185,1,1,,,,,5436,2665,2771
2017,30183,18,16,1,9,9,,63828,31060,32768
2017,30182,4,4,,4,4,,19031,9359,9672
2017,30181,4,4,,3,3,,39615,19508,20107
2017,30180,2,2,,1,1,,12015,5913,6102
2017,30178,2,2,,2,2,,14132,6818,7314
2017,30176,7,7,,6,6,,5096,2520,2576
2017,30175,33,30,3,23,22,1,98621,48414,50207
2017,30174,24,22,2,16,15,1,107734,51889,55845
2017,30173,12,11,1,7,7,,57944,28668,29276
2017,30172,3,3,,1,1,,21453,10738,10715
2017,30170,1,1,,1,1,,11314,5549,5765
2017,30169,12,10,2,8,7,1,24182,11872,12310
2017,30167,1,1,,1,1,,15221,7531,7690
2017,30166,1,1,,1,1,,9973,5080,4893
2017,30164,6,6,,4,4,,17321,8438,8883
2017,30160,19,18,1,11,10,1,109563,54455,55108
2017,30159,4,3,1,4,3,1,26431,12854,13577
2017,30158,9,9,,5,5,,25395,12535,12860
2017,30157,5,3,2,2,,2,20522,10352,10170
2017,30155,6,5,1,6,5,1,107910,53601,54309
2017,30154,1,1,,1,1,,13612,6927,6685
2017,30153,2,2,,2,2,,6070,2962,3108
2017,30152,1,1,,1,1,,12953,6710,6243
2017,30151,2,2,,,,,24435,12295,12140
2017,30149,3,2,1,1,1,,35272,17376,17896
2017,30148,1,1,,,,,28951,14357,14594
2017,30147,1,1,,1,1,,23630,11780,11850
2017,30146,1,1,,,,,3768,1894,1874
2017,30145,4,4,,4,4,,16498,8049,8449
2017,30144,19,17,2,17,15,2,33803,16634,17169
2017,30143,1,1,,,,,60018,28984,31034
2017,30142,17,15,2,11,10,1,35141,17292,17849
2017,30141,16,14,2,10,9,1,170518,82212,88306
2017,30138,5,3,2,1,1,,44058,20767,23291
2017,30134,4,4,,1,1,,23435,11554,11881
2017,30133,2,2,,2,2,,60049,30142,29907
2017,30132,3,3,,2,2,,20003,9979,10024
2017,30131,75,60,15,53,47,6,211925,100595,111330
2017,30130,7,7,,7,7,,40331,19346,20985
2017,30129,1,1,,1,1,,18953,9322,9631
2017,30128,2,2,,,,,75103,37451,37652
2017,30126,2,2,,1,1,,34897,17412,17485
2017,30125,7,5,2,6,4,2,32643,16160,16483
2017,30124,66,61,5,47,44,3,166597,82305,84292
2017,30123,41,34,7,31,24,7,104380,52072,52308
2017,30121,5,4,1,3,3,,24394,12505,11889
2017,30120,2,2,,1,1,,16564,8135,8429
2017,30119,1,1,,1,1,,5897,2825,3072
2017,30118,4,2,2,4,2,2,132376,61217,71159
2017,30117,9,7,2,4,3,1,24728,11950,12778
2017,30116,9,9,,8,8,,16868,8128,8740
2017,30115,2,2,,1,1,,38839,18600,20239
2017,30114,2,1,,1,,,11263,5532,5731
2017,30113,2,2,,2,2,,4778,2326,2452
2017,30112,2,2,,2,2,,22479,11012,11467
2017,30111,4,3,1,2,1,1,17833,8691,9142
2017,30109,23,21,2,19,17,2,66977,32749,34228
2017,30108,70,62,8,55,49,6,163009,78987,84022
2017,30107,1,1,,1,1,,3069,1571,1498
2017,30105,11,9,2,3,3,,77545,37276,40269
2017,30102,43,38,5,26,24,2,111185,53472,57713
2017,30101,1,1,,1,1,,37776,18226,19550
2017,30099,1,1,,,,,18417,8898,9519
2017,30097,4,3,1,3,3,,20811,9748,11063
2017,30095,1,1,,,,,16755,8302,8453
2017,30094,7,6,1,1,1,,40254,19894,20360
2017,30093,3,2,1,3,2,1,17087,8328,8759
2017,30092,2,2,,1,1,,39335,19460,19875
2017,30091,1,1,,1,1,,29614,14753,14861
2017,30090,1,1,,1,1,,11696,5750,5946
2017,30089,30,28,2,23,22,1,43048,20614,22434
2017,30087,83,76,7,45,43,2,502932,236999,265933
2017,30086,7,7,,5,5,,45380,22293,23087
2017,30085,6,4,2,2,1,1,71394,34700,36694
2017,30084,1,1,,1,1,,6050,3004,3046
2017,30083,4,3,1,3,2,1,55450,27172,28278
2017,30082,11,11,,9,9,,16258,8148,8110
2017,30081,1,,1,,,,25826,12404,13422
2017,30080,3,3,,2,2,,23486,11720,11766
2017,30079,2,1,,,,,11751,5942,5809
2017,30077,7,7,,6,6,,44926,21993,22933
2017,30076,2,2,,1,1,,14132,6769,7363
2017,30073,4,4,,4,4,,44601,21743,22858
2017,30072,5,5,,2,2,,22155,10752,11403
2017,30071,6,4,2,1,1,,61801,29914,31887
2017,30070,1,1,,1,1,,19466,9868,9598
2017,30069,9,9,,7,7,,25806,12157,13649
2017,30068,13,10,3,9,8,1,68103,32335,35768
2017,30066,7,7,,4,4,,28036,13727,14309
2017,30065,15,13,2,10,8,2,79521,38442,41079
2017,30064,1,1,,,,,4032,1966,2066
2017,30063,1,1,,1,1,,15225,7599,7626
2017,30062,2,2,,2,2,,21336,10624,10712
2017,30061,38,33,5,24,19,5,83346,40926,42420
2017,30060,1,1,,,,,17046,8409,8637
2017,30059,3,3,,3,3,,16725,8168,8557
2017,30058,2,2,,1,1,,58338,28511,29827
2017,30057,9,9,,7,7,,14553,7253,7300
2017,30055,2,2,,2,2,,13951,6881,7070
2017,30054,11,11,,8,8,,12903,6276,6627
2017,30053,29,26,3,26,24,2,28788,13744,15044
2017,30052,4,3,,3,3,,12622,6003,6619
2017,30051,8,7,1,4,4,,23284,11252,12032
2017,30050,9,9,,8,8,,17161,8421,8740
2017,30049,2,2,,1,1,,21662,10804,10858
2017,30048,32,31,1,24,23,1,142531,68863,73668
2017,30047,4,3,1,3,2,1,59094,29115,29979
2017,30046,3,3,,1,1,,16892,8402,8490
2017,30045,21,20,1,7,7,,59110,28364,30746
2017,30044,115,102,12,88,81,7,223628,105284,118344
2017,30042,1,1,,,,,5947,2921,3026
2017,30041,1,1,,1,1,,2322,1145,1177
2017,30040,18,16,2,9,9,,57475,28027,29448
2017,30039,190,161,26,128,107,19,332655,161493,171162
2017,30038,12,11,1,5,5,,95787,46322,49465
2017,30036,2,2,,2,2,,10634,5198,5436
2017,30034,5,4,1,3,3,,27984,13289,14695
2017,30033,5,5,,1,1,,24747,12043,12704
2017,30032,9,9,,2,2,,51653,25040,26613
2017,30030,1,1,,,,,44368,20970,23398
2017,30028,21,19,2,16,14,2,150856,71095,79761
2017,30026,5,3,2,5,3,2,24182,11475,12707
2017,30023,14,12,2,11,10,1,51919,25927,25992
2017,30022,3,1,2,,,,21916,10826,11090
2017,30021,2,2,,1,1,,24713,11990,12723
2017,30018,1,1,,,,,1941,935,1006
2017,30017,1,1,,,,,4210,2095,2115
2017,30016,6,6,,5,5,,28091,13588,14503
2017,30015,2,2,,,,,35535,17302,18233
2017,30014,23,19,4,15,13,2,46811,22634,24177
2017,30013,9,9,,6,6,,29622,14078,15544
2017,30012,4,3,1,2,2,,8300,4068,4232
2017,30011,11,9,2,6,5,1,55660,27649,28011
2017,30010,22,19,3,20,18,2,66875,32360,34515
2017,30009,9,8,1,5,5,,30183,15125,15058
2017,30004,10,9,1,4,4,,44874,22061,22813
2017,30003,41,38,3,37,34,3,90179,43481,46698
2017,30001,4,3,1,4,3,1,8987,4620,4367
2017,29060,1,1,,,,,5164,2518,2646
2017,29058,1,1,,,,,9157,4402,4755
2017,29051,2,1,1,2,1,1,3963,1877,2086
2017,29045,1,1,,,,,6288,3100,3188
2017,29044,3,3,,3,3,,44829,21506,23323
2017,29043,6,5,1,2,2,,39639,19215,20424
2017,29042,1,1,,,,,14177,6760,7417
2017,29041,3,3,,2,2,,31429,15198,16231
2017,29040,1,1,,,,,11000,5322,5678
2017,29039,1,1,,1,1,,24848,12464,12384
2017,29038,8,8,,3,3,,17387,8415,8972
2017,29036,1,1,,,,,23311,11193,12118
2017,29034,5,5,,2,2,,44459,21853,22606
2017,29033,17,14,3,7,7,,100589,48042,52547
2017,29031,3,2,1,1,1,,33469,16509,16960
2017,29030,1,1,,1,1,,15550,7811,7739
2017,29028,4,3,1,2,1,1,25089,12178,12911
2017,29027,4,3,1,3,3,,13409,6577,6832
2017,29026,3,2,1,1,1,,20980,10323,10657
2017,29025,5,5,,3,3,,79853,39803,40050
2017,29024,3,2,1,,,,28242,13690,14552
2017,29023,3,3,,3,3,,26369,12732,13637
2017,29021,1,,1,,,,18853,9218,9635
2017,29019,2,1,1,1,1,,21772,10500,11272
2017,29018,1,,1,,,,39988,19740,20248
2017,29017,1,,1,,,,11213,5558,5655
2017,29015,4,3,1,2,2,,40184,19525,20659
2017,29013,13,10,3,5,5,,96738,47472,49266
2017,29012,1,1,,,,,9189,4564,4625
2017,29011,1,1,,1,1,,4819,2429,2390
2017,29010,1,1,,,,,74584,36048,38536
2017,29008,1,1,,1,1,,15802,7917,7885
2017,29007,7,7,,4,4,,17673,8727,8946
2017,29006,7,7,,3,3,,50447,24593,25854
2017,29005,5,4,1,1,1,,83741,40007,43734
2017,29004,4,3,1,3,2,1,17919,8975,8944
2017,29002,2,2,,1,1,,15726,7625,8101
2017,29001,2,2,,,,,11452,5644,5808
2017,28043,6,5,,5,4,,24669,12354,12315
2017,28041,305,256,46,245,208,35,356210,174426,181784
2017,28040,6,6,,3,3,,67132,33096,34036
2017,28039,11,9,2,8,7,1,30119,15035,15084
2017,28038,42,38,4,16,16,,328695,157845,170850
2017,28037,5,4,1,3,3,,26133,13416,12717
2017,28035,12,10,2,7,6,1,59053,29728,29325
2017,28034,13,13,,13,13,,9393,4929,4464
2017,28033,43,39,4,31,31,,129532,65004,64528
2017,28032,383,347,30,291,272,16,661969,331221,330748
2017,28030,26,22,4,19,16,3,14527,7335,7192
2017,28029,1,1,,1,1,,14202,7234,6968
2017,28028,1,1,,,,,3644,1904,1740
2017,28027,77,59,15,30,24,6,413020,206819,206201
2017,28025,24,23,1,19,19,,28494,14228,14266
2017,28024,19,18,1,16,15,1,4742,2338,2404
2017,28023,2,1,,,,,4354,2270,2084
2017,28022,51,46,5,26,25,1,535140,264245,270895
2017,28021,31,30,1,29,28,1,123351,60035,63316
2017,28020,1,1,,1,1,,2647,1344,1303
2017,28019,5,4,1,1,1,,17746,9021,8725
2017,28018,1,1,,1,1,,8558,4299,4259
2017,28017,1,1,,1,1,,15988,8128,7860
2017,28016,26,25,1,14,13,1,24280,12461,11819
2017,28015,15,13,1,11,11,,16348,8280,8068
2017,28014,4,4,,4,4,,4654,2413,2241
2017,28013,33,20,11,16,9,7,16230,8430,7800
2017,28012,8,7,1,4,4,,45559,22650,22909
2017,28011,2,2,,,,,9498,4873,4625
2017,28009,15,10,5,8,4,4,218326,104426,113900
2017,28008,1,,1,,,,4392,2316,2076
2017,28007,15,14,1,14,14,,16447,8349,8098
2017,28006,1,1,,1,1,,8262,4304,3958
2017,28005,1,1,,1,1,,4712,2442,2270
2017,28003,12,10,2,4,3,1,242802,120812,121990
2017,28002,10,9,1,7,6,1,30541,15405,15136
2017,28001,4,4,,1,1,,12608,6308,6300
2017,27017,21,17,2,11,9,2,62776,30634,32142
2017,27016,10,9,1,5,4,1,60464,29754,30710
2017,27015,1,1,,,,,50724,25424,25300
2017,27014,13,13,,11,11,,98096,48862,49234
2017,27013,9,8,1,4,4,,140599,69021,71578
2017,27012,30,28,2,24,22,2,171815,84516,87299
2017,27010,6,6,,2,2,,91059,45424,45635
2017,27009,5,4,1,4,3,1,40075,20101,19974
2017,27008,66,62,4,43,43,,195243,96508,98735
2017,27007,5,4,1,3,2,1,32120,15437,16683
2017,27006,30,29,1,23,22,1,142620,70312,72308
2017,27005,25,22,3,16,14,2,210753,104022,106731
2017,27004,163,141,22,106,96,10,713132,349055,364077
2017,27003,14,11,3,3,3,,114066,57092,56974
2017,27002,38,36,2,26,24,2,268606,132037,136569
2017,27001,14,13,1,7,7,,62629,31270,31359
2017,26072,4,4,,1,1,,15255,7828,7427
2017,26071,4,3,1,3,2,1,23252,11629,11623
2017,26070,10,10,,9,9,,17533,8882,8651
2017,26069,5,5,,5,5,,6350,3207,3143
2017,26064,1,1,,1,1,,1724,937,787
2017,26061,1,1,,1,1,,1430,783,647
2017,26060,1,1,,,,,1824,940,884
2017,26058,3,3,,,,,17217,8494,8723
2017,26056,3,3,,1,1,,9621,5164,4457
2017,26055,42,35,7,27,24,3,199223,100073,99150
2017,26052,1,1,,1,1,,6054,3107,2947
2017,26051,1,1,,1,1,,5394,2814,2580
2017,26048,10,9,1,6,6,,67752,34461,33291
2017,26043,69,64,4,44,41,3,243718,121758,121960
2017,26042,15,15,,6,6,,171686,84133,87553
2017,26041,1,1,,,,,14006,7030,6976
2017,26040,1,1,,1,1,,2112,1103,1009
2017,26039,1,1,,,,,6618,3331,3287
2017,26036,5,4,1,3,3,,32565,16146,16419
2017,26035,1,1,,1,1,,13365,6708,6657
2017,26033,5,5,,2,2,,84885,42549,42336
2017,26030,194,181,12,130,122,8,904996,447161,457835
2017,26029,53,48,4,38,36,2,164508,81587,82921
2017,26026,3,2,1,1,,1,64604,32814,31790
2017,26025,24,21,2,14,14,,58892,29242,29650
2017,26020,1,1,,1,1,,5234,2726,2508
2017,26019,2,1,1,,,,37118,18367,18751
2017,26018,238,216,22,189,173,16,452976,221555,231421
2017,26017,28,25,3,11,11,,88842,44716,44126
2017,26015,1,,1,,,,1551,816,735
2017,26013,1,1,,1,1,,1726,871,855
2017,26012,10,10,,8,8,,24266,12204,12062
2017,26004,2,2,,,,,9956,4983,4973
2017,26003,8,8,,8,8,,27256,14103,13153
2017,26002,11,9,2,8,7,1,86057,43347,42710
2017,25018,151,143,8,134,128,6,156590,79758,76832
2017,25017,23,22,1,17,17,,93296,47301,45995
2017,25016,25,25,,21,21,,22689,11778,10911
2017,25015,26,25,1,17,17,,85363,41722,43641
2017,25014,26,25,1,23,22,1,55468,28244,27224
