anio,geo,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2015,30118,3,3,,2,2,,130966,60643,70323
2015,30117,5,5,,5,5,,24391,11784,12607
2015,30116,5,3,2,3,1,2,16508,7956,8552
2015,30115,4,3,1,3,3,,38065,18233,19832
2015,30114,1,1,,1,1,,11089,5444,5645
2015,30112,10,10,,7,7,,22066,10818,11248
2015,30111,5,4,1,4,3,1,17627,8598,9029
2015,30110,1,1,,,,,11471,5802,5669
2015,30109,4,4,,1,1,,66393,32511,33882
2015,30108,23,22,1,16,15,1,162527,78740,83787
2015,30107,1,1,,,,,3019,1548,1471
2015,30106,1,1,,1,1,,4733,2328,2405
2015,30105,1,1,,,,,72751,34959,37792
2015,30104,1,1,,1,1,,17090,8380,8710
2015,30102,19,17,2,10,9,1,111274,53579,57695
2015,30100,7,7,,1,1,,23976,11854,12122
2015,30099,2,2,,2,2,,18026,8698,9328
2015,30097,2,2,,1,1,,20730,9721,11009
2015,30094,2,2,,1,1,,39582,19565,20017
2015,30093,5,4,1,4,3,1,16675,8116,8559
2015,30092,4,4,,1,1,,38387,18986,19401
2015,30091,2,2,,1,1,,29026,14451,14575
2015,30089,4,3,1,3,2,1,42478,20350,22128
2015,30088,1,1,,,,,5234,2652,2582
2015,30087,66,56,9,34,31,3,493336,232111,261225
2015,30086,4,4,,2,2,,44329,21814,22515
2015,30085,3,3,,1,1,,70287,34167,36120
2015,30084,1,1,,,,,6053,3015,3038
2015,30083,3,3,,3,3,,54665,26829,27836
2015,30082,1,1,,,,,16022,8027,7995
2015,30081,1,1,,,,,24483,11756,12727
2015,30079,2,1,1,1,,1,11530,5831,5699
2015,30077,5,5,,4,4,,44438,21763,22675
2015,30076,3,3,,2,2,,14044,6729,7315
2015,30075,1,,1,1,,1,18038,8711,9327
2015,30074,1,1,,1,1,,7325,3549,3776
2015,30073,1,1,,,,,44041,21492,22549
2015,30072,2,2,,,,,21799,10589,11210
2015,30071,1,,1,,,,60164,29112,31052
2015,30069,5,5,,3,3,,25835,12182,13653
2015,30068,5,4,1,2,2,,66088,31364,34724
2015,30066,3,3,,1,1,,27644,13564,14080
2015,30065,20,15,3,9,9,,75611,36544,39067
2015,30062,2,2,,2,2,,20705,10291,10414
2015,30061,29,24,5,23,19,4,81891,40193,41698
2015,30060,4,3,1,3,3,,16693,8229,8464
2015,30058,2,1,1,1,,1,58308,28512,29796
2015,30057,3,3,,1,1,,14342,7164,7178
2015,30053,8,7,1,5,4,1,28157,13405,14752
2015,30052,3,3,,2,2,,12454,5920,6534
2015,30051,3,2,1,1,1,,23102,11184,11918
2015,30050,1,1,,,,,16877,8297,8580
2015,30049,3,3,,3,3,,21407,10671,10736
2015,30048,33,30,3,26,23,3,139209,67229,71980
2015,30047,1,1,,,,,57450,28310,29140
2015,30046,6,5,1,5,4,1,16708,8315,8393
2015,30045,4,4,,,,,58855,28264,30591
2015,30044,20,15,5,15,12,3,219288,103170,116118
2015,30040,18,15,2,6,4,2,55473,27034,28439
2015,30039,62,56,6,24,24,,327016,158764,168252
2015,30038,8,6,2,2,1,1,93922,45451,48471
2015,30037,1,1,,,,,8509,4213,4296
2015,30035,1,1,,,,,12188,5984,6204
2015,30034,6,5,1,2,2,,27619,13119,14500
2015,30033,2,2,,2,2,,24612,11997,12615
2015,30032,1,1,,1,1,,51222,24868,26354
2015,30031,3,3,,3,3,,17217,8429,8788
2015,30028,5,5,,,,,149567,70476,79091
2015,30027,1,1,,1,1,,17995,8812,9183
2015,30026,2,2,,2,2,,23823,11315,12508
2015,30024,3,3,,1,1,,15873,8042,7831
2015,30023,11,9,2,10,8,2,51203,25608,25595
2015,30021,3,3,,,,,24481,11867,12614
2015,30017,2,2,,2,2,,4155,2069,2086
2015,30016,4,3,1,2,1,1,27775,13445,14330
2015,30015,1,1,,,,,35311,17203,18108
2015,30014,6,6,,4,4,,45811,22156,23655
2015,30013,12,11,1,6,5,1,29287,13918,15369
2015,30011,8,8,,6,6,,54962,27359,27603
2015,30010,9,9,,6,6,,65530,31733,33797
2015,30009,3,3,,3,3,,29809,14941,14868
2015,30005,1,1,,,,,5495,2754,2741
2015,30004,12,12,,8,8,,44224,21759,22465
2015,30003,14,14,,12,12,,89283,43078,46205
2015,30001,1,1,,,,,8854,4562,4292
2015,29060,1,1,,1,1,,5004,2435,2569
2015,29057,2,2,,1,1,,4679,2209,2470
2015,29052,1,1,,,,,6097,2970,3127
2015,29048,3,3,,1,1,,18815,9090,9725
2015,29044,6,5,1,3,2,1,43181,20711,22470
2015,29042,1,,1,,,,13747,6551,7196
2015,29041,1,1,,,,,30540,14753,15787
2015,29039,2,1,1,1,1,,24121,12094,12027
2015,29038,2,2,,1,1,,16482,7983,8499
2015,29034,3,1,2,,,,43509,21386,22123
2015,29033,8,5,3,1,1,,98433,47027,51406
2015,29032,2,2,,1,1,,13704,6661,7043
2015,29031,4,3,1,2,2,,32357,15943,16414
2015,29030,1,1,,,,,14990,7526,7464
2015,29027,1,,1,1,,1,13032,6375,6657
2015,29025,4,4,,2,2,,77676,38652,39024
2015,29024,1,1,,,,,27699,13455,14244
2015,29023,3,3,,2,2,,25734,12407,13327
2015,29021,3,3,,2,2,,18471,9033,9438
2015,29020,1,1,,,,,9470,4695,4775
2015,29019,1,1,,,,,21031,10140,10891
2015,29015,1,1,,1,1,,39033,18948,20085
2015,29013,1,1,,,,,93999,46076,47923
2015,29012,1,1,,1,1,,9034,4496,4538
2015,29010,3,3,,1,1,,72604,35068,37536
2015,29008,3,3,,,,,15365,7695,7670
2015,29007,2,2,,,,,17194,8483,8711
2015,29006,8,6,2,3,3,,49290,24013,25277
2015,29005,6,6,,1,1,,82744,39540,43204
2015,29004,1,1,,,,,17440,8730,8710
2015,29002,1,1,,1,1,,15329,7435,7894
2015,29001,2,2,,1,1,,11017,5425,5592
2015,28043,1,1,,,,,24426,12245,12181
2015,28042,2,2,,2,2,,6571,3411,3160
2015,28041,89,71,14,23,21,2,348362,170652,177710
2015,28040,25,25,,23,23,,66692,32906,33786
2015,28039,1,1,,,,,29697,14854,14843
2015,28038,28,22,6,11,9,2,325847,156525,169322
2015,28037,3,3,,,,,25978,13375,12603
2015,28035,21,16,1,6,5,1,59208,29854,29354
2015,28034,5,1,2,1,,,9439,4946,4493
2015,28033,38,33,5,30,27,3,127012,63764,63248
2015,28032,89,74,8,44,34,3,641932,321320,320612
2015,28030,6,5,,,,,14409,7290,7119
2015,28027,85,71,9,36,34,1,406592,203638,202954
2015,28025,9,7,1,4,4,,28164,14089,14075
2015,28024,4,4,,3,3,,5025,2488,2537
2015,28023,2,2,,,,,4547,2365,2182
2015,28022,127,114,13,93,86,7,526890,260389,266501
2015,28021,9,8,1,7,7,,122329,59603,62726
2015,28019,12,9,3,8,7,1,17791,9053,8738
2015,28018,2,2,,1,1,,8622,4341,4281
2015,28017,1,1,,,,,15774,8019,7755
2015,28016,12,11,1,10,10,,24313,12497,11816
2015,28015,1,1,,,,,16240,8223,8017
2015,28014,5,3,,5,3,,4581,2381,2200
2015,28013,13,7,5,4,2,2,16100,8370,7730
2015,28012,5,3,2,1,1,,45162,22472,22690
2015,28011,1,1,,1,1,,9415,4835,4580
2015,28010,1,1,,1,1,,2117,1080,1037
2015,28009,23,21,2,12,12,,215270,103047,112223
2015,28007,3,2,1,1,1,,16612,8441,8171
2015,28003,24,20,4,11,10,1,232496,115732,116764
2015,28002,15,11,4,3,3,,30418,15367,15051
2015,28001,2,2,,1,1,,12589,6311,6278
2015,27017,17,15,2,7,7,,62214,30423,31791
2015,27016,12,8,4,3,3,,59063,29106,29957
2015,27015,6,6,,4,4,,49795,24957,24838
2015,27014,7,7,,4,4,,95344,47460,47884
2015,27013,9,7,2,3,3,,133785,65713,68072
2015,27012,12,12,,6,6,,168166,82809,85357
2015,27011,2,2,,1,1,,31753,16027,15726
2015,27010,3,2,1,,,,88775,44289,44486
2015,27009,2,2,,,,,39320,19726,19594
2015,27008,45,42,3,29,28,1,191565,94779,96786
2015,27007,3,3,,1,1,,31576,15214,16362
2015,27006,23,23,,11,11,,138582,68371,70211
2015,27005,20,20,,10,10,,206073,101763,104310
2015,27004,140,126,14,78,73,5,693907,339488,354419
2015,27003,8,6,2,2,1,1,111312,55738,55574
2015,27002,43,38,5,26,24,2,263434,129588,133846
2015,27001,11,11,,5,5,,61605,30772,30833
2015,26072,5,4,1,5,4,1,15016,7707,7309
2015,26071,1,1,,,,,22947,11482,11465
2015,26070,55,53,1,49,47,1,16829,8549,8280
2015,26069,5,5,,3,3,,6358,3227,3131
2015,26066,3,3,,1,1,,9333,4774,4559
2015,26064,1,1,,1,1,,1717,930,787
2015,26061,1,1,,1,1,,1421,777,644
2015,26060,13,13,,10,10,,1903,984,919
2015,26058,5,5,,5,5,,16846,8322,8524
2015,26056,3,3,,3,3,,9266,4967,4299
2015,26055,28,22,6,12,9,3,193697,97351,96346
2015,26052,3,3,,3,3,,6070,3116,2954
2015,26051,2,2,,2,2,,5379,2808,2571
2015,26048,6,5,1,5,5,,64266,32711,31555
2015,26047,1,1,,1,1,,9964,5156,4808
2015,26043,46,38,8,25,23,2,236163,118197,117966
2015,26042,19,15,4,8,7,1,168378,82631,85747
2015,26039,1,1,,1,1,,6530,3295,3235
2015,26038,1,1,,1,1,,5084,2528,2556
2015,26036,3,3,,2,2,,31655,15701,15954
2015,26035,3,3,,3,3,,13030,6544,6486
2015,26033,12,12,,7,7,,83872,42105,41767
2015,26031,1,,1,1,,1,1329,679,650
2015,26030,111,95,16,49,46,3,874942,432938,442004
2015,26029,31,30,1,27,27,,160390,79594,80796
2015,26026,2,2,,,,,63682,32351,31331
2015,26025,9,6,3,4,4,,57868,28739,29129
2015,26023,2,2,,2,2,,6484,3280,3204
2015,26022,1,,1,1,,1,995,550,445
2015,26020,1,1,,1,1,,5209,2714,2495
2015,26019,2,2,,1,1,,36523,18101,18422
2015,26018,139,126,12,84,79,5,442654,216801,225853
2015,26017,29,26,3,21,19,2,86554,43601,42953
2015,26014,5,5,,5,5,,3601,1854,1747
2015,26012,7,6,1,5,4,1,23929,12044,11885
2015,26006,1,,1,,,,2978,1526,1452
2015,26004,7,5,2,4,3,1,9708,4879,4829
2015,26003,8,8,,7,7,,26969,13973,12996
2015,26002,10,9,,7,6,,84190,42461,41729
2015,25018,50,48,2,43,42,1,153992,78420,75572
2015,25017,27,27,,21,21,,92275,46803,45472
2015,25016,26,26,,25,25,,23108,12016,11092
2015,25015,39,36,2,26,25,1,84204,41169,43035
2015,25014,42,42,,38,38,,54410,27725,26685
2015,25013,31,29,1,25,24,1,47725,24592,23133
2015,25012,98,90,8,70,67,3,498223,246103,252120
2015,25011,60,56,4,40,38,2,304940,151519,153421
2015,25010,52,50,1,42,41,,103925,52642,51283
2015,25009,4,4,,3,3,,59478,30121,29357
2015,25008,6,6,,4,4,,57257,29669,27588
2015,25007,19,19,,15,15,,34266,17623,16643
2015,25006,465,440,24,415,397,17,919119,452214,466905
2015,25005,5,4,1,3,3,,17337,8884,8453
2015,25004,25,24,1,22,21,1,28984,14755,14229
2015,25003,42,40,2,40,38,2,32595,16902,15693
2015,25002,14,12,2,8,8,,48369,24262,24107
2015,25001,75,72,3,51,49,2,455583,224535,231048
2015,24058,4,1,3,1,,1,22011,11073,10938
2015,24056,1,1,,,,,15727,7846,7881
2015,24055,3,3,,2,2,,26135,12878,13257
2015,24054,3,3,,1,1,,53503,26527,26976
2015,24050,5,5,,4,4,,49462,24554,24908
2015,24049,1,1,,1,1,,38410,18691,19719
2015,24046,2,2,,2,2,,17685,8789,8896
2015,24042,5,,5,4,,4,15341,7539,7802
2015,24041,1,1,,1,1,,20296,10302,9994
2015,24040,7,6,1,4,4,,39645,19598,20047
2015,24038,1,1,,,,,16217,8209,8008
2015,24037,6,4,1,,,,97458,48440,49018
2015,24036,1,1,,,,,30593,15423,15170
2015,24035,23,21,2,10,9,1,299974,146099,153875
2015,24034,2,2,,,,,15235,7633,7602
2015,24032,2,1,1,1,1,,41171,19647,21524
2015,24031,1,1,,,,,12040,5882,6158
2015,24028,117,104,13,64,62,2,838689,405161,433528
2015,24024,10,10,,5,5,,96434,46666,49768
2015,24021,7,6,1,4,3,1,57012,27255,29757
2015,24020,14,8,6,5,3,2,98890,48030,50860
2015,24019,1,,1,1,,1,5800,2836,2964
2015,24018,1,1,,,,,16242,8027,8215
2015,24017,2,2,,1,1,,27078,13670,13408
2015,24016,4,4,,1,1,,44136,21666,22470
2015,24015,2,2,,1,1,,21723,10678,11045
2015,24014,3,3,,2,2,,16663,8397,8266
2015,24013,16,13,3,8,8,,180231,87330,92901
2015,24012,1,1,,1,1,,21507,10661,10846
2015,24011,3,3,,1,1,,46173,22476,23697
2015,24010,1,1,,,,,33159,16487,16672
2015,24007,1,1,,,,,19385,9524,9861
2015,24006,1,1,,,,,9973,5075,4898
2015,24005,2,2,,1,1,,19381,9276,10105
2015,24003,4,2,2,,,,49579,25114,24465
2015,24002,1,,1,,,,8526,4209,4317
2015,24001,2,2,,,,,18945,8932,10013
2015,23010,5,5,,3,3,,39207,19533,19674
2015,23009,3,2,1,,,,32277,16833,15444
2015,23008,23,21,2,7,7,,202823,105622,97201
2015,23006,1,1,,,,,39066,19977,19089
2015,23005,81,68,13,27,25,2,744095,374278,369817
2015,23004,24,20,4,9,9,,247606,121814,125792
2015,23003,1,1,,1,1,,19215,9943,9272
2015,23002,4,2,2,2,1,1,83147,41817,41330
2015,23001,3,3,,1,1,,89395,44895,44500
2015,22017,3,3,,3,3,,71582,35129,36453
2015,22016,21,15,5,8,6,1,272877,134004,138873
2015,22014,76,69,7,30,30,,898319,444825,453494
2015,22012,4,4,,1,1,,70267,34883,35384
2015,22011,17,13,4,5,5,,151384,75958,75426
2015,22010,1,1,,1,1,,19941,9586,10355
2015,22008,4,3,1,2,2,,39214,18953,20261
2015,22007,1,1,,1,1,,42025,20263,21762
2015,22006,5,2,3,,,,176002,85213,90789
2015,22004,4,2,1,,,,70791,33867,36924
2015,22003,2,1,1,1,1,,13987,6701,7286
2015,22002,2,2,,1,1,,27531,13334,14197
2015,22001,5,5,,4,4,,64950,31576,33374
2015,21217,10,9,1,7,7,,19780,9605,10175
2015,21213,7,7,,4,4,,13629,6655,6974
2015,21209,1,,1,1,,1,8726,3992,4734
2015,21208,6,6,,3,3,,83021,39574,43447
2015,21207,1,1,,1,1,,56681,27148,29533
2015,21206,2,1,1,2,1,1,4492,2109,2383
2015,21205,2,2,,2,2,,24996,12140,12856
2015,21204,1,1,,,,,8105,3903,4202
2015,21202,1,,1,,,,13026,6350,6676
2015,21197,17,14,3,9,8,1,82363,39778,42585
2015,21195,2,1,1,,,,24908,11968,12940
2015,21194,22,22,,15,15,,29807,14325,15482
2015,21193,2,2,,2,2,,7014,3457,3557
2015,21191,4,4,,3,3,,9941,4629,5312
2015,21189,3,2,1,3,2,1,21402,10278,11124
2015,21188,2,2,,2,2,,18080,8509,9571
2015,21186,5,4,1,4,3,1,54626,26129,28497
2015,21185,1,1,,,,,8779,4120,4659
2015,21183,3,3,,1,1,,20698,10093,10605
2015,21181,1,1,,,,,7007,3468,3539
2015,21179,1,1,,,,,29790,14607,15183
2015,21178,1,,1,,,,17521,8646,8875
2015,21177,4,4,,4,4,,52453,25123,27330
2015,21176,1,1,,1,1,,8891,4274,4617
2015,21175,3,3,,2,2,,12369,5902,6467
2015,21174,2,1,1,1,1,,100343,47561,52782
2015,21172,1,1,,1,1,,28304,13650,14654
