anio,ent,total,total_hom,total_muj,armas,armas_hom,armas_muj,pob_total,pob_hom,pob_muj
2020,28,774,685,72,542,506,36,3595971,1776863,1819108
2020,27,586,531,55,412,375,37,2440449,1196142,1244307
2020,26,1647,1518,92,1127,1061,59,3002286,1506254,1496032
2020,25,855,806,37,554,538,14,3079773,1526168,1553605
2020,24,798,726,60,574,541,31,2871697,1401063,1470634
2020,23,623,555,68,417,380,37,1898241,959272,938969
2020,22,228,203,25,119,113,6,2419819,1186637,1233182
2020,21,899,785,111,597,536,61,6705217,3230785,3474432
2020,20,878,766,112,625,554,71,4204445,2016519,2187926
2020,19,914,820,91,713,658,54,5905971,2963058,2942913
2020,18,169,146,21,81,77,4,1252690,622813,629877
2020,17,987,902,83,752,700,52,2002754,969281,1033473
2020,16,2368,2118,249,1955,1779,175,4830267,2354604,2475663
2020,15,3051,2612,425,1862,1693,167,17236788,8395308,8841480
2020,14,2289,2029,252,1306,1185,120,8507662,4193609,4314053
2020,13,364,322,42,228,213,15,3130166,1508655,1621511
2020,12,1463,1311,147,1128,1029,97,3599955,1735911,1864044
2020,11,5163,4436,635,4340,3784,512,6265796,3053506,3212290
2020,10,140,123,16,79,72,7,1858155,920522,937633
2020,09,1334,1193,141,959,879,80,9332593,4477410,4855183
2020,08,3435,3071,360,2263,2046,217,3812627,1895944,1916683
2020,07,542,464,76,274,254,20,5715260,2800924,2914336
2020,06,600,509,91,457,393,64,745122,368812,376310
2020,05,235,202,33,118,112,6,3197122,1594257,1602865
2020,04,66,59,7,37,33,4,939179,463525,475654
2020,03,64,59,5,28,26,2,815098,415991,399107
2020,02,2975,2569,294,1847,1673,156,3838619,1942589,1896030
2020,01,83,76,7,48,45,3,1456050,714122,741928
2021,32,1701,1531,165,1366,1235,130,1655403,809327,846076
2021,31,53,45,8,15,15,,2390802,1177681,1213121
2021,30,920,813,106,639,584,54,8146184,3921761,4224423
2021,29,159,130,29,77,69,8,1380635,669270,711365
2021,28,719,614,63,424,395,25,3621934,1789595,1832339
2021,27,438,392,46,264,234,30,2441753,1195057,1246696
2021,26,1977,1741,151,1315,1210,93,3024147,1517657,1506490
2021,25,613,576,36,368,351,16,3096923,1533869,1563054
2021,24,787,694,84,582,532,47,2885794,1405874,1479920
2021,23,664,589,75,447,408,39,1936713,977307,959406
2021,22,229,202,27,109,100,9,2462684,1206933,1255751
2021,21,847,731,110,517,468,47,6758650,3254197,3504453
2021,20,751,670,81,542,495,47,4221338,2022049,2199289
2021,19,1072,969,103,803,745,58,5996906,3007825,2989081
2021,18,210,179,28,119,110,9,1264932,628215,636717
2021,17,1154,1057,97,865,811,54,2008274,970731,1037543
2021,16,2674,2401,270,2215,2006,209,4862597,2369391,2493206
2021,15,3111,2656,434,1865,1685,178,17291050,8407514,8883536
2021,14,2175,1927,243,1378,1247,129,8573447,4225560,4347887
2021,13,284,241,43,157,140,17,3157947,1518894,1639053
2021,12,1405,1250,147,1112,1002,106,3598332,1733590,1864742
2021,11,3996,3454,512,3314,2886,411,6308964,3070480,3238484
2021,10,142,130,11,81,79,2,1870186,926150,944036
2021,09,1072,943,128,714,655,59,9272649,4444051,4828598
2021,08,2659,2333,325,1820,1621,198,3851891,1916442,1935449
2021,07,565,495,66,330,304,26,5785553,2831285,2954268
2021,06,503,455,48,403,369,34,748315,370349,377966
2021,05,157,133,24,47,40,7,3232850,1611688,1621162
2021,04,87,74,13,56,51,5,941684,463930,477754
2021,03,59,51,8,22,20,2,831832,424439,407393
2021,02,3194,2708,341,1966,1754,195,3889925,1969207,1920718
2021,01,98,87,11,41,37,4,1472645,721750,750895
2022,32,1401,1236,158,1151,1021,127,1667567,814958,852609
2022,31,43,37,6,7,6,1,2420401,1191783,1228618
2022,30,743,639,104,504,456,48,8133233,3912196,4221037
2022,29,157,140,17,72,67,5,1395020,675682,719338
2022,28,433,344,51,225,203,20,3652671,1805488,1847183
2022,27,334,292,42,184,162,22,2447193,1196563,1250630
2022,26,1634,1445,143,1125,1028,91,3051188,1532336,1518852
2022,25,572,531,36,333,316,17,3118470,1544234,1574236
2022,24,737,674,61,543,506,36,2905759,1414387,1491372
2022,23,635,575,60,427,396,31,1977161,996754,980407
2022,22,185,159,26,94,88,6,2508214,1229004,1279210
2022,21,969,847,115,615,554,61,6824785,3285500,3539285
2022,20,761,639,121,613,519,93,4244538,2031892,2212646
2022,19,1388,1237,150,1066,966,100,6095498,3057506,3037992
2022,18,168,154,13,99,93,6,1278605,634516,644089
2022,17,1161,1047,114,900,826,74,2017078,974445,1042633
2022,16,2242,1992,246,1855,1677,178,4901506,2388407,2513099
2022,15,3212,2714,489,1822,1623,199,17379644,8443203,8936441
2022,14,1678,1492,182,1035,933,102,8647986,4263272,4384714
